constructor_id,url,name,nationality
ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,https://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,https://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
sauber,https://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
toro_rosso,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
racing_point,https://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
alphatauri,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
